arm,seed,cog_specificity_mean,cog_load_mean,mean_intake_mean,n_distinct_genomes_mean,excess_pc_slope,eg_excess_pc_slope,dyn_excess_pc_slope,final_pop,min_pop,extinct
JOINT,0,11.255343249586762,12.341482740933778,0.04436036223759417,16216.852459016394,0.00019547276731228362,64.2198282219891,33.4651461138765,19238,1185,False
JOINT,1,11.163707826958328,12.151640376106638,0.04410096618239997,16095.737704918032,0.00018052552610179438,63.565881973787086,33.00644795164536,19193,1322,False
JOINT,2,10.970743320027335,11.920852817472865,0.04386689843701535,16185.557377049181,0.00020655502356033787,66.38597668850598,33.38626632679097,19347,1136,False
JOINT,3,11.097197360679752,12.02650013908011,0.04408934486449742,16228.098360655738,0.00016621407194286552,64.96915372372612,31.96081940337304,19188,1419,False
LUT_only,0,25.0,25.0,0.05493084341287613,9371.655737704918,7.361502604985085e-05,0.0,17.215152377206266,10457,3028,False
LUT_only,1,25.0,25.0,0.05493906586140883,9427.393442622952,0.00011649593967192277,0.0,17.001277611813453,11145,2974,False
LUT_only,2,25.0,25.0,0.05480355348010532,9361.245901639344,7.169151466433996e-05,0.0,17.252544064791255,10546,3077,False
LUT_only,3,25.0,25.0,0.05486620016029624,9348.852459016394,7.996876300165221e-05,0.0,17.67773582125942,10291,2724,False
EGENE_only,0,20.548242443897685,29.58986398040271,0.06173191237889352,599.672131147541,-48.33637827395614,29.77660474310485,0.0,14547,957,False
EGENE_only,1,20.11776300336494,29.282479677043977,0.06098112934192673,563.8032786885246,-44.46011387322192,31.921526625870975,0.0,12468,846,False
EGENE_only,2,20.268729334971944,29.49733124404657,0.06213838918531527,587.4754098360655,-45.77079160141426,33.24481608422993,0.0,12901,8910,False
EGENE_only,3,20.618714770332712,29.453842319425988,0.06152901822914843,580.688524590164,-47.17311169119579,28.896217231062728,0.0,12341,8302,False
