arm,config_idx,determinism_ok,dyn_excess_pc_final,dyn_excess_pc_late_minus_early_mean,dyn_excess_pc_slope,dyn_excess_pc_slope_early,dyn_excess_pc_slope_late,dyn_excess_pc_switch,eg_excess_pc_final,eg_excess_pc_late_minus_early_mean,eg_excess_pc_slope,eg_excess_pc_slope_early,eg_excess_pc_slope_late,eg_excess_pc_switch,error,extinct,final_pop,food_inc,gdiff,m_scale,min_pop,n_distinct_genomes_final,n_distinct_genomes_late_minus_early_mean,n_distinct_genomes_slope,n_distinct_genomes_slope_early,n_distinct_genomes_slope_late,n_distinct_genomes_switch,param_mu_lut_p1,phase1_ticks,seed,sub_alive,sub_digest,sub_frac_evolved,sub_n_lut,tax
B,3,,-7404769.0,0.0,-5.614300349970145e-14,6.10876642779006e-13,4.868632277880001e-13,-7404769.0,-8126114.0,0.0,2.245720139988058e-13,6.10876642779006e-13,8.1143871298e-13,-8126114.0,,True,0,0.015,0.06,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0.0,0,0.035
B,18,,-7427875.0,0.0,5.05287031497313e-13,4.07251095186004e-13,8.114387129800001e-14,-7427875.0,-8129593.0,0.0,4.491440279976116e-13,8.14502190372008e-13,4.868632277880001e-13,-8129593.0,,True,0,0.015,0.06,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,3,0,0,0.0,0,0.035
B,23,,-7416491.0,0.0,2.245720139988058e-13,0.0,5.68007099086e-13,-7416491.0,-8136009.0,0.0,-4.491440279976116e-13,1.425378833151014e-12,6.491509703840001e-13,-8136009.0,,True,0,0.015,0.06,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,4,0,0,0.0,0,0.035
B,28,,-7435809.0,0.0,4.491440279976116e-13,7.12689416575507e-13,8.114387129800001e-14,-7435809.0,-8137524.0,0.0,2.245720139988058e-13,6.10876642779006e-13,6.491509703840001e-13,-8137524.0,,True,0,0.015,0.06,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,5,0,0,0.0,0,0.035
B,8,,-7417406.0,0.0,0.0,2.03625547593002e-13,4.0571935649e-13,-7417406.0,-8128422.0,0.0,0.0,6.10876642779006e-13,9.737264555760002e-13,-8128422.0,,True,0,0.015,0.06,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,1,0,0,0.0,0,0.035
B,13,,-9309619.0,0.0,2.245720139988058e-13,1.832629928337018e-12,1.6228774259600001e-13,-9309619.0,-10049959.0,0.0,3.3685802099820876e-13,8.14502190372008e-13,5.68007099086e-13,-10049959.0,,True,0,0.015,0.06,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,2,0,0,0.0,0,0.035
B,33,,-9310122.0,0.0,5.614300349970145e-13,0.0,6.491509703840001e-13,-9310122.0,-10045558.0,0.0,-2.245720139988058e-13,1.01812773796501e-12,1.6228774259600001e-13,-10045558.0,,True,0,0.015,0.06,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,6,0,0,0.0,0,0.035
B',14,,1.0,0.0,4.1818052474896515e-20,1.543782878090645e-19,1.4959640784667747e-19,1.0,0.4993141288869083,0.0014860539513956161,2.5113234456038994e-07,-4.22867889691786e-07,-1.1045196420186359e-06,0.4855967078201502,,False,55441,0.015,0.06,3.0,33795,36267.0,1177.578571428574,0.21682126113455097,3.1888345864661636,-0.0529090909090902,16978.0,0.0,100,2,1329,4271945308184,0.0,1,0.035
B',24,,1.0,0.0,4.1818052474896515e-20,1.543782878090645e-19,1.4959640784667747e-19,1.0,0.49794238712638617,0.005281207121199616,3.3618292851098593e-07,-3.805810814113116e-06,-3.384818229219562e-06,0.49382716049331066,,False,55379,0.015,0.06,3.0,28962,36491.0,1165.171428571426,0.21405075011720526,3.523714285714282,-0.06945454545454169,14311.0,0.0,100,4,1499,4208233185056,0.0,1,0.035
B',4,,0.0,0.0,0.0,0.0,0.0,0.0,0.49794238712638617,-0.777533326332542,-0.00014413667720018867,-0.0022173442243013193,2.1377797903758518e-07,16.022023244244338,,False,55806,0.015,0.06,3.0,31725,36455.0,1134.8333333333358,0.21426336146273042,3.0042105263157852,-0.0780259740259749,16205.0,0.0,100,0,1438,403480853096,0.0,1,0.035
